id,title,author,nicknames,suite,performances,copy_id,core_gd,cover_gd,cover_jg,core_jrad,aka,debut_gd,notes,abbrev
749,Ballad of a Thin Man,Bob Dylan,,,,747,,TRUE,,,,1987,,
732,Boy in the Bubble,Bob Dylan,,,,732,,TRUE,,,,1987,,
724,Chimes of Freedom,Bob Dylan,,,,720,,TRUE,,,,1987,,
720,"Dead Man, Dead Man",Bob Dylan,,,,720,,TRUE,,,,1987,,
477,Desolation Row,Bob Dylan,,,,477,,TRUE,,,,1986,,
715,"Don't Think Twice, It's Alright",Bob Dylan,,,,715,,TRUE,,,,1986,,
706,Forever Young,Bob Dylan,,,,706,,TRUE,,,,1987,,
700,Gonna Change My Way of Thinking,Bob Dylan,,,,700,,TRUE,,,,1987,,
696,Gotta Serve Somebody,Bob Dylan,,,5456,696,,TRUE,,,,1987,,
691,Heart of Mine,Bob Dylan,,,,691,,TRUE,,,,1987,,
687,Highway 61 Revisited,Bob Dylan,,,,687,,TRUE,,,,1987,,
777,I Shall Be Released,Bob Dylan,,,4440:5531,777,,,,,,,https://en.wikipedia.org/wiki/I_Shall_Be_Released,
680,I Want You,Bob Dylan,,,,680,,TRUE,,,,1987,,
678,I'll Be Your Baby Tonight,Bob Dylan,,,,678,,TRUE,,,,1987,,
672,If Not for You,Bob Dylan,,,,672,,TRUE,,,,1987,,
515,"It Takes a Lot to Laugh, It Takes a Train to Cry",Bob Dylan,Takes a Lot to Laugh,,4605,515,,TRUE,,,,1973,,
118,"It's All Over Now, Baby Blue",Bob Dylan,Baby Blue,,2048:2929,118,,TRUE,,,,1966,,
665,John Brown,Bob Dylan,,,,665,,TRUE,,,,1987,,
123,Just Like Tom Thumb's Blues,Bob Dylan,Tom Thumb's Blues,,2174:4566,123,,TRUE,,,,1985,,
320,Knockin' on Heaven's Door,Bob Dylan,,,,320,,TRUE,,,,1987,,
135,Lonesome Whistle Blues,Bob Dylan,,,,135,,,,,,,,
652,Maggie's Farm,Bob Dylan,,,4442:5178,652,,TRUE,,,,1987,,
651,Man of Peace,Bob Dylan,,,,651,,TRUE,,,,1987,,
649,Mr Tambourine Man,Bob Dylan,,,,649,,TRUE,,,,1987,,
634,Pledging My Time,Bob Dylan,,,,634,,TRUE,,,,1987,,
420,Queen Jane Approximately,Bob Dylan,Queen Jane,,3920:4090:4410,420,,TRUE,,,,1987,,
355,Rainy Day Women #12 & 35,Bob Dylan,Rainy Day Women,,,355,,TRUE,,,Rainy Day Woman,1987,,
624,Señor (Tales of Yankee Power),Bob Dylan,Señor,,,624,,TRUE,,,,1987,,
555,She Belongs to Me,Bob Dylan,,,,555,,TRUE,,,,1966,,
198,Shelter From the Storm,Bob Dylan,,,1912:2164:3460:5117,198,TRUE,TRUE,,,,,,
560,Simple Twist of Fate,Bob Dylan,,,,560,,TRUE,,,,1976,,
